FAIXA ETÁRIA,SEXO,COR OU RACA,SITUACÃO DE CONCLUSÃO,ANO QUE CONCLUIU,ESCOLA,ENSINO,ESTADO DA ESCOLA,DEPENDÊNCIA ADM DA ESCOLA,LOCALIZACAO DA ESCOLA,SG_UF_PROVA,PRESENCA CIÊNCIAS DA NATUREZA,PRESENCA CIÊNCIAS HUMANAS,PRESENCA LINGUAGENS E CÓDIGOS,PRESENCA MATEMÁTICA,CÓDIGO DA PROVA CIÊNCIAS DA NATUREZA,CÓDIGO DA PROVA CIÊNCIAS HUMANAS,CÓDIGO DA PROVA LINGUAGENS E CÓDIGOS,CÓDIGO DA PROVA MATEMÁTICA,NOTA CIÊNCIAS DA NATUREZA,NOTA CIÊNCIAS HUMANAS,NOTA LINGUAGENS E CÓDIGOS,NOTA MATEMÁTICA,LÍNGUA ESTRANGEIRA,STATUS DA REDACÃO,NOTA REDACÃO,NOTA TOTAL,"FAIXA SALARIAL",POSSUI INTERNET EM CASA
19 anos,M,Branca,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,DF,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,438.2,602.0,596.8,617.5,Inglês,Sem problemas,620.0,244.4,"De R$ 1.818,01 até R$ 2.424,00.",Sim
Entre 26 e 30 anos,F,Branca,Já conluí o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RO,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
20 anos,F,Parda,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,584.7,545.9,572.4,677.5,Inglês,Sem problemas,680.0,136.0,"Até R$ 1.212,00",Sim
17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,575.3,595.4,523.7,711.7,Espanhol,Sem problemas,860.0,172.0,"Até R$ 1.212,00",Sim
Entre 26 e 30 anos,M,Branca,Já conluí o Ensino Médio,2015,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,512.7,359.0,447.3,507.0,Espanhol,Sem problemas,580.0,289.2,"Até R$ 1.212,00",Não
19 anos,M,Preta,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,PI,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,411.1,533.4,553.8,528.0,Espanhol,Sem problemas,900.0,285.6,"Até R$ 1.212,00",Sim
17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,ES,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,407.6,518.4,475.1,390.8,Inglês,Sem problemas,500.0,100.0,"Até R$ 1.212,00",Sim
18 anos,M,Branca,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RJ,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
18 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Privada,Ensino Regular,SP,Privada,Urbana,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,589.8,650.2,562.8,671.7,Inglês,Sem problemas,880.0,176.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
18 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Privada,Ensino Regular,SP,Privada,Urbana,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,441.9,525.7,536.7,678.5,Inglês,Sem problemas,720.0,144.0,"De R$ 3.636,01 até R$ 4.848,00.",Sim
Entre 26 e 30 anos,F,Parda,Já conluí o Ensino Médio,2011,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,392.1,502.3,499.6,611.6,Espanhol,Sem problemas,400.0,80.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
25 anos,F,Branca,Já conluí o Ensino Médio,2014,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PR,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,672.9,620.8,522.5,805.8,Inglês,Sem problemas,920.0,184.0,"Acima de R$ 24.240,00.",Sim
17 anos,M,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Privada,Ensino Regular,PE,Privada,Urbana,PE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,558.9,649.2,593.6,688.1,Inglês,Sem problemas,860.0,172.0,"Acima de R$ 24.240,00.",Sim
20 anos,F,Parda,Já conluí o Ensino Médio,2019,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,CE,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
17 anos,M,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,RJ,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
17 anos,M,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,MT,Estadual,Urbana,MT,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,519.0,526.6,524.3,614.5,Inglês,Sem problemas,600.0,223.8,"De R$ 12.120,01 até R$ 14.544,00.",Sim
17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,461.0,456.4,416.6,406.9,Inglês,Sem problemas,680.0,228.2,Nenhuma Renda,Sim
21 anos,M,Parda,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,547.1,577.6,522.5,486.3,Espanhol,Sem problemas,740.0,148.0,"Até R$ 1.212,00",Sim
19 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,559.2,535.9,472.0,392.1,Inglês,Sem problemas,760.0,246.4,"Até R$ 1.212,00",Sim
